node_1|node_2|edge|chunk_id
雷达研发细分领域|doherty功率放大器设计|《Doherty功率放大器在雷达射频前端的设计与优化》属于雷达研发细分领域中的射频硬件领域。|dfd37b9d8feb4f9aa7dbdd3d4e05365f
雷达研发细分领域|汽车毫米波雷达天线优化|《汽车毫米波雷达天线增益与方向图优化研究》属于雷达研发细分领域中的天线技术领域。|dfd37b9d8feb4f9aa7dbdd3d4e05365f
雷达研发细分领域|雷达系统外场试验方法|《雷达系统外场试验方法与抗干扰验证报告》属于雷达研发细分领域中的测试验证领域。|dfd37b9d8feb4f9aa7dbdd3d4e05365f
雷达研发细分领域|面向6g的智能超表面赋能的通信感知一体化雷达架构研究|《面向6G的智能超表面赋能的通信感知一体化雷达架构研究》属于雷达研发细分领域中的系统架构与设计类。|dfd37b9d8feb4f9aa7dbdd3d4e05365f
传统雷达与通信系统|独立设计|传统雷达与通信系统因独立设计导致频谱资源紧张和设备冗余。|0825caf546544a028aac41c9caebac4a
智能超表面|全息mimo雷达架构|智能超表面用于构建全息MIMO雷达架构，通过编程控制单元状态动态调控电磁波前向。|0825caf546544a028aac41c9caebac4a
超表面编码优化算法|基站与雷达信号协同处理|超表面编码优化算法支持基站与雷达的信号协同处理流程。|0825caf546544a028aac41c9caebac4a
系统功耗|降低30%|理论上系统功耗可降低30%，并通过仿真验证在车辆编队感知与V2X通信场景下的可行性。|0825caf546544a028aac41c9caebac4a
机械扫描气象雷达|船只晃动环境数据失真|机械扫描气象雷达在船只晃动环境下易出现数据失真问题。|0825caf546544a028aac41c9caebac4a
稀疏阵列天线技术|减少t/r组件数量|稀疏阵列天线技术在保证探测性能的同时大幅减少T/R组件数量。|0825caf546544a028aac41c9caebac4a
商用fpga|信号处理板卡设计|系统基于商用FPGA设计信号处理板卡。|0825caf546544a028aac41c9caebac4a
强风、高湿度环境|防护等级设计|系统在强风、高湿度环境下进行防护等级设计以适应恶劣工况。|0825caf546544a028aac41c9caebac4a
高分辨率距离像|传统识别方法稳健性不足|高分辨率距离像包含丰富目标结构信息，但传统识别方法在复杂环境下稳健性不足。|0825caf546544a028aac41c9caebac4a
一维卷积神经网络|注意力机制|一维卷积神经网络模型引入注意力机制，以专注于HRRP中的关键判别性特征。|0825caf546544a028aac41c9caebac4a
实测hrrp数据|10,000个样本|使用三类飞机目标的实测HRRP数据（共计10,000个样本）进行训练与测试。|0825caf546544a028aac41c9caebac4a
信噪比10db|平均识别率95.2%|在信噪比为10dB条件下，平均识别率达到95.2%，显著优于传统方法。|0825caf546544a028aac41c9caebac4a
dbscan聚类算法|联合概率数据关联滤波器|算法改进结合DBSCAN聚类算法与改进的联合概率数据关联滤波器。|0825caf546544a028aac41c9caebac4a
城市复杂交通场景|目标跟踪连续性提升25%|在城市复杂交通场景中，目标跟踪连续性与稳定性提升约25%。|0825caf546544a028aac41c9caebac4a
77ghz车载雷达|sige bicmos单片集成电路|77GHz车载雷达需将多个射频功能集成于SiGe BiCMOS单片集成电路。|0825caf546544a028aac41c9caebac4a
工作频率76-81ghz|发射通道输出功率≥12dbm|芯片工作频率为76-81GHz，发射通道输出功率≥12dBm。|0825caf546544a028aac41c9caebac4a
噪声系数≤8db|接收通道|接收通道噪声系数≤8dB，满足高性能射频需求。|0825caf546544a028aac41c9caebac4a
gan工艺|t/r组件设计|基于GaN工艺设计T/R组件，满足高功率、高效率、高可靠性要求。|0825caf546544a028aac41c9caebac4a
微通道液冷散热|结温控制|采用微通道液冷散热设计，确保结温控制在安全范围内。|0825caf546544a028aac41c9caebac4a
有源相控阵雷达|外场动态性能测试|外场动态性能测试用于验证有源相控阵雷达在真实飞行环境下的探测与抗干扰能力。|0825caf546544a028aac41c9caebac4a
探测实验|电子干扰手段|探测实验引入多种电子干扰手段以评估系统抗干扰能力。|0825caf546544a028aac41c9caebac4a
毫米波雷达|pcb板级信号完整性仿真|毫米波雷达进行PCB板级信号完整性仿真与测试研究。|0825caf546544a028aac41c9caebac4a
